rank|token_id|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
39|2282|Holo Mask : White & Black #2282|685.1093316580678|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2282|Trey|Kadey White 2 Color|Evan|Laila|Maxwell White|Gabriel White
39|2354|Holo Mask : White & Black #2354|685.1093316580678|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2354|Vince|Sophia 2 Color|Jameson|Laura|Ivan Black|William White
39|3519|Holo Mask : White & Black #3519|685.1093316580678|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3519|Sunshine|Julie White 2 Color|Bryson|Kate|Kai White|Elijah White
44|3660|Holo Mask : White & Black #3660|683.7294529911335|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3660|Trey|Ava 2 Color|Kayden|Nadia|Chase White|Lucas White
45|3341|Holo Mask : White & Black #3341|683.4332381437391|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3341|Vince|Jenna White 2 Color|Axel|Mabel|Chase White|Lucas White
46|822|Holo Mask : White & Black #822|683.3259021058757|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/822|Vince|Scarlett 2 Color|Leonardo|Lilly|Ivan Black|Lucas White
47|2786|Holo Mask : White & Black #2786|682.755510879625|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2786|Irvin|Natalie 2 Color|Vincent 6|Marina|Gavin Black|Jack White
48|514|Holo Mask : White & Black #514|679.2425169512956|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/514|Vince|Kalin White 2 Color|Vincent 4|Marina|Gavin Black|David White
49|2172|Holo Mask : White & Black #2172|674.8174083728612|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2172|Owen|Ella 2 Color|Vincent 1|Molly|Zachary Black|Landon White
50|953|Holo Mask : White & Black #953|672.2903271543536|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/953|Sunshine|Julie White 2 Color|Vincent 1|Marina|George White|Jordan White
51|1257|Holo Mask : White & Black #1257|672.2564836807372|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1257|Sky|Addison 2 Color|Jason|Melda|Wesley Black|Sebastian White
52|1928|Holo Mask : White & Black #1928|668.8042393159197|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1928|Trey|Ava 2 Color|Jameson|Melda|Bennett White|Sebastian White
52|2164|Holo Mask : White & Black #2164|668.8042393159197|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2164|Trey|Jenna White 2 Color|Evan|Nira|Diego White|Anthony White
52|2658|Holo Mask : White & Black #2658|668.8042393159197|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2658|Trey|Ava 2 Color|Ezekiel|Mayda|Maxwell White|Grayson White
52|4071|Holo Mask : White & Black #4071|668.8042393159197|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4071|Vince|Addison 2 Color|Jace|Nilda|Bennett White|Anthony White
56|722|Holo Mask : White & Black #722|668.5080244685254|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/722|Trey|Leah 2 Color|Everett|Kate|Diego White|Nicholas White
56|2252|Holo Mask : White & Black #2252|668.5080244685254|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2252|Vince|Addison 2 Color|Jace|Lucia|Emmett Black|Leo White
56|3584|Holo Mask : White & Black #3584|668.5080244685254|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3584|Trey|Victoria 2 Color|Declan|Lucia|Ivan Black|Jack White
56|3891|Holo Mask : White & Black #3891|668.5080244685254|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3891|Sunshine|Chloe 2 Color|Jose|Lucia|Wesley Black|Jordan White
60|1014|Holo Mask : White & Black #1014|657.9351581011962|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1014|Irvin|Amelia 2 Color|Vincent 1|Lana|Cole Black|Samuel White
61|441|Holo Mask : White & Black #441|652.928548581469|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/441|Vince|Kalin White 2 Color|Vincent 1|Layla|Zachary White|Sebastian White
62|1438|Holo Mask : White & Black #1438|650.2981178333749|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1438|Vince|Stella Blue|Vincent 5|Nilda|Kai White|Isaiah White
62|3533|Holo Mask : White & Black #3533|650.2981178333749|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3533|Trey|Hannah Blue|Vincent 4|Oda|Kai White|Joshua White
64|2101|Holo Mask : White & Black #2101|644.0849475454485|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2101|Sunshine|Kace White 2 Color|Ezekiel|Katie|Emmett Black|Adam White
64|4114|Holo Mask : White & Black #4114|644.0849475454485|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4114|Trey|Kace White 2 Color|Ayden|Kate|Diego White|Samuel White
66|4110|Holo Mask : White & Black #4110|641.2042780478312|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4110|Trey|Grace Red|Vincent 3|Mabel|Emmett Black|Noah White
67|2714|Holo Mask : White & Black #2714|637.5351319200345|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2714|Sky|Irene White|Vincent 4|Nilda|Bennett White|Colton White
68|473|Holo Mask : White & Black #473|637.2843948708804|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/473|Owen|Scarlett Blue|Vincent 2|Laila|Bennett White|Angel White
69|2215|Holo Mask : White & Black #2215|633.7866727078227|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2215|Sunshine|Harper Blue|Vincent 4|Kate|Silas White|Matthew White
70|4093|Holo Mask : White & Black #4093|622.5619252330753|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4093|Vince|Ella Blue|Vincent 3|Laura|Bennett White|Asher White
71|607|Holo Mask : White & Black #607|622.3342661927617|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/607|Sunshine|Eleanor 2 Color|Jace|Mila|Tyler White|Henry White
72|2040|Holo Mask : White & Black #2040|622.2269301548982|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2040|Trey|Lily 2 Color|Leonardo|Nyla|Tyler White|Mateo White
73|74|Holo Mask : White & Black #74|622.0380513453673|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/74|Sunshine|Leah 2 Color|Xavier|Malia|Tyler White|Oliver White
73|3684|Holo Mask : White & Black #3684|622.0380513453673|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3684|Trey|Charlotte 2 Color|Sawyer|Lilly|Tyler White|Ethan White
75|3019|Holo Mask : White & Black #3019|620.683087681338|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3019|Owen|Hattie White|Vincent 2|Layla|Ivan Black|Anthony White
76|1469|Holo Mask : White & Black #1469|617.1853655182803|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1469|Sunshine|Leah Blue|Vincent 2|Luna|Silas White|Jack White
77|250|Holo Mask : White & Black #250|611.7320002416585|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/250|Vince|Emily 2 Color|Jameson|Nadia|Wesley White|Jonathan White
78|2184|Holo Mask : White & Black #2184|609.3358149955388|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2184|Irvin|Camila 2 Color|Declan|Mabel|Tyler White|William White
78|2926|Holo Mask : White & Black #2926|609.3358149955388|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2926|Irvin|Jenna White 2 Color|Parker|Kylie|Vincent Black|Carson White
80|3301|Holo Mask : White & Black #3301|609.2625347767882|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3301|Trey|Hope White|Vincent 1|Nellie|Wesley Black|Adrian White
81|491|Holo Mask : White & Black #491|606.1190359146038|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/491|Vince|Harper 2 Color|Sawyer|Nira|Tyler White|Asher White
81|1182|Holo Mask : White & Black #1182|606.1190359146038|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1182|Trey|Lillian 2 Color|Axel|Nina|Vincent Black|Hunter White
81|2350|Holo Mask : White & Black #2350|606.1190359146038|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2350|Trey|Victoria 2 Color|Jason|Molly|Vincent Black|Asher White
81|3557|Holo Mask : White & Black #3557|606.1190359146038|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3557|Vince|Jazmin White 2 Color|Kayden|Nira|Tyler White|Angel White
81|4236|Holo Mask : White & Black #4236|606.1190359146038|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4236|Trey|Lillian 2 Color|Jace|Nilda|Tyler White|Hunter White
86|1998|Holo Mask : White & Black #1998|605.8228210672095|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1998|Vince|Stella 2 Color|Everett|Lana|Vincent Black|Hudson White
86|2859|Holo Mask : White & Black #2859|605.8228210672095|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2859|Trey|Evelyn 2 Color|Micah|Katie|Vincent Black|Ian White
88|2082|Holo Mask : White & Black #2082|598.6727994809237|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2082|Sky|Lillian 2 Color|Kayden|Lainey|Wesley White|Ian White
89|274|Holo Mask : White & Black #274|595.2205551161063|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/274|Trey|Aria 2 Color|Xavier|Layla|Wesley White|Nolan White
89|1989|Holo Mask : White & Black #1989|595.2205551161063|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1989|Vince|Emma 2 Color|Miles|Liana|Wesley White|Hunter White
89|3539|Holo Mask : White & Black #3539|595.2205551161063|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3539|Trey|Avery 2 Color|Evan|Kate|Wesley White|Gabriel White
92|4128|Holo Mask : White & Black #4128|593.840676449172|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4128|Sunshine|Mia 2 Color|Weston|Naya|Wesley White|Lucas White
93|3871|Holo Mask : White & Black #3871|592.6612275872458|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3871|Trey|Lily Red|Vincent 1|Luna|Kai White|Leo White
94|2713|Holo Mask : White & Black #2713|589.5177287250614|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2713|Vince|Abigail 2 Color|Xavier|Naya|Vincent Black|Anthony White
94|4391|Holo Mask : White & Black #4391|589.5177287250614|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4391|Sunshine|Aria 2 Color|Miles|Myla|Vincent Black|Maverick White
96|2647|Holo Mask : White & Black #2647|582.4284567022876|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2647|Irvin|Ellie 2 Color|Declan|Morine|Wesley White|Liam White
97|119|Holo Mask : White & Black #119|577.2405482055556|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/119|Irvin|Camila 2 Color|Miles|Naila|Gavin White|James White
97|149|Holo Mask : White & Black #149|577.2405482055556|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/149|Irvin|Charlotte 2 Color|Everett|Nilda|Bennett Black|James White
97|570|Holo Mask : White & Black #570|577.2405482055556|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/570|Irvin|Penelope 2 Color|Declan|Niada|Declan White|Jeremiah White
97|992|Holo Mask : White & Black #992|577.2405482055556|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/992|Irvin|Jazlyn White 2 Color|Axel|Myla|Gavin White|Michael White
97|3350|Holo Mask : White & Black #3350|577.2405482055556|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3350|Irvin|Emily 2 Color|Jose|Niada|Maxwell Black|Theodore White
102|1992|Holo Mask : White & Black #1992|577.2252764402838|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1992|Owen|Addison 2 Color|Jason|Nina|Maxwell Black|Julian White
102|2710|Holo Mask : White & Black #2710|577.2252764402838|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2710|Owen|Jolene White 2 Color|Ayden|Naila|Luis Black|Ethan White
102|4107|Holo Mask : White & Black #4107|577.2252764402838|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4107|Owen|Kaden White 2 Color|Jace|Morine|Emmett White|Michael White
105|2000|Holo Mask : White & Black #2000|577.1797986420436|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2000|Sky|Amelia 2 Color|Jason|Marina|Chase Black|Henry White
105|2634|Holo Mask : White & Black #2634|577.1797986420436|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2634|Sky|Camila 2 Color|Micah|Nina|Chase Black|Joseph White
105|3180|Holo Mask : White & Black #3180|577.1797986420436|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3180|Sky|Karina White 2 Color|Luca|Ocie|Vincent White|Jonathan White
108|1699|Holo Mask : White & Black #1699|577.1179404024205|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1699|Owen|Luna 2 Color|Leonardo|Mayda|Declan White|Mason White
109|704|Holo Mask : White & Black #704|576.9443333581612|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/704|Irvin|Addison 2 Color|Parker|Katie|Declan Black|Jaxon White
109|2744|Holo Mask : White & Black #2744|576.9443333581612|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2744|Irvin|Jolene White 2 Color|Xavier|Laura|Gavin White|Roman White
109|3534|Holo Mask : White & Black #3534|576.9443333581612|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3534|Irvin|Kacie White 2 Color|Ayden|Lucia|Nathaniel White|Joshua White
109|4398|Holo Mask : White & Black #4398|576.9443333581612|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4398|Irvin|Victoria 2 Color|Weston|Lilly|Weston White|Jaxson White
113|920|Holo Mask : White & Black #920|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/920|Sky|Mila 2 Color|Weston|Malia|Gael White|Jonathan White
113|2036|Holo Mask : White & Black #2036|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2036|Sky|Scarlett 2 Color|Everett|Lilly|Maxwell Black|Theodore White
113|2390|Holo Mask : White & Black #2390|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2390|Sky|Riley 2 Color|Jameson|Lainey|Maxwell Black|Michael White
113|2839|Holo Mask : White & Black #2839|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2839|Sky|Hannah 2 Color|Sawyer|Nellie|Bennett Black|Theodore White
113|2853|Holo Mask : White & Black #2853|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2853|Sky|Olivia 2 Color|Kayden|Mabel|Weston White|Mateo White
113|3526|Holo Mask : White & Black #3526|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3526|Sky|Julie White 2 Color|Ezekiel|Liana|Gavin White|Nathan White
113|3726|Holo Mask : White & Black #3726|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3726|Sky|Jazmin White 2 Color|Axel|Luna|Maxwell Black|Henry White
113|4183|Holo Mask : White & Black #4183|576.8835837946492|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/4183|Sky|Lily 2 Color|Jason|Liana|Gavin White|Jeremiah White
121|136|Holo Mask : White & Black #136|576.7762477567859|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/136|Sky|Madison 2 Color|Leonardo|Nellie|Damian Black|Joseph White
122|26|Holo Mask : White & Black #26|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/26|Sunshine|Camila 2 Color|Jameson|Melda|Bennett Black|Lincoln White
122|63|Holo Mask : White & Black #63|573.7275542772262|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/63|Sunshine|Grace 2 Color|Xavier|Naya|Diego Black|Joseph White
