rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1324|622.0368203258215|2079|Genesis Kami #2079|Hazel wood dry leaves|Katana 2|Black|Pink grievous|Yellow priest|Silver short long|Neutral|Mommy mask|Brownish orange slick hair|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2079
1325|622.0032797276402|3760|Genesis Kami #3760|Hazulnut grass flower|None|Gray|Sky blue strained|Red onmyoji|Gold short long|Haha|Doctor glasses|Brown ikemen|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3760
1326|621.7507213217992|4090|Genesis Kami #4090|Sandstone maple leaf|Silver buster sword|Cream|Green gentle|Blue cape|Gold double ring right 1|Smile|Black kamen|Gold oppa|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4090
1327|621.5723419149635|5212|Genesis Kami #5212|Immortal coin dark feather aura|Red wand|White|Green demon|Gold lord|Gold chain|Haha|Black danzo mekakushi|Red disheveled|Black cat ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5212
1328|621.5579863999582|2142|Genesis Kami #2142|Fossil kase|None|Cream|Yellow aggressive|Green cyberpunk suit|Silver short long|Black rose|None|Gray cornrow braids|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2142
1329|621.467519319821|3251|Genesis Kami #3251|Blizzard night|Shikigami|White|Pink gangsta|Blue priest|None|Smile with teeth|Ninja mask|Gray harajuku|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3251
1330|621.3643869045018|3056|Genesis Kami #3056|Shadow|Purple wand|Cream|Yellow good boy|Black hood|Silver double long right|Smile with teeth|Red cyberpunk glasses|White wuxia|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3056
1331|621.3336404049463|3725|Genesis Kami #3725|Hickory|Spear|Cream|Green demon|Blue gangster suit|Silver spear|Rose|Red opera kamen|Black harajuku|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3725
1332|621.1989430239165|5503|Genesis Kami #5503|Porpoise|Silver buster sword|Cream|Green determined|White hood|Silver short long|Neutral|Houtai cheek & nose|Mint oppa|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5503
1333|621.1850417867279|3578|Genesis Kami #3578|Hazelnut|Red wand|White|Yellow gangsta|Black gangster suit|nail|Green gum|Bandage nose|Brown japan bangs|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3578
1334|621.0244660525033|1018|Genesis Kami #1018|Blizzard|Shikigami|Gray|Purple satan|White onmyoji|Yellow fan|Smile with teeth|Houtai nose|Red long hair|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1018
1335|620.9751813212371|3|Genesis Kami #3|Hazelnut|Silver buster sword|Cream|Black angry eyes|Black hood|Gold ring 2|Angry|Black danzo mekakushi|Black cornrow braids|White baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3
1336|620.84708482304|4455|Genesis Kami #4455|Silver|Brush|White|Green good boy|Brown turtle|Gold ring 2|Rose|White kamen|Gold kpop 1|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4455
1337|620.8231013333857|4503|Genesis Kami #4503|Coin black red thunder|Silver berserker|Cream|Pink determined|Purple lord|Silver skull|Blue rose|White kamen|Red disheveled|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4503
1338|620.7682742202866|5398|Genesis Kami #5398|Hazel wood dry leaves|Brush|White|Purple gentle|Blue binbo|Silver short long|Smile|None|Brown under cut|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5398
1339|620.6623040671468|347|Genesis Kami #347|Fossil red fire ghost|None|White|Red strained|Red white clown|White skull|Smirk|Black kamen|Black madara|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/347
1340|620.5371450939523|2515|Genesis Kami #2515|Silver|Katana 2|Cream|Purple gentle|Yellow onmyoji|Gold triple ring right|Smile with teeth|Rimless|Gold under cut|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2515
1341|620.4755648394421|629|Genesis Kami #629|Hazel wood dry leaves|None|White|Red cold|White shirt|Black spear|Neutral|Black pirate eyepatch|Gold ikemen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/629
1342|620.4736517149653|398|Genesis Kami #398|Spruce blue kiminari|Shikigami|White|Green gangsta|Blue binbo|None|Knife|None|Mint under cut|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/398
1343|620.4398903869629|866|Genesis Kami #866|Coin sakura|None|White|Yellow good boy|White gold pimp|Sky blue feather|Gritted|Bandage cheek|White harajuku|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/866
1344|620.3538064985344|4491|Genesis Kami #4491|Seaweed|Katana 2|Cream|Pink gangsta|Red onmyoji|None|Neutral|Mask gangster|Gold disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4491
1345|620.288499480541|2039|Genesis Kami #2039|Blizzard|Red wand|Cream|Green strained|Red white clown|Gold feather|Rose|Red cyberpunk glasses|Mint ikemen|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2039
1346|620.2493993123246|1448|Genesis Kami #1448|Wood|Silver buster sword|Black|Yellow demon|Black shirt|Silver four ring right|Gritted|Black danzo mekakushi|Mint cornrow braids|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1448
1347|620.2010261530787|2874|Genesis Kami #2874|Hickory|Berserker blade|White|Purple grievous|Black cape|Silver dot|Blue gum|Green cyberpunk glasses|Brown madara|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2874
