rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
2115|571.202198155226|5117|Genesis Kami #5117|Silver|None|Black|Green gangsta|Blue priest|Nippon hanafuda|Mild smile|Houtai all|Brownish orange wuxia|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5117
2116|571.1909140302713|4885|Genesis Kami #4885|Blizzard night|None|White|Yellow angry eyes|Green kimono|Yellow fan|Smirk|Black pirate eyepatch|Purple oppa|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4885
2117|571.1051344573837|4036|Genesis Kami #4036|Pewter|Silver buster sword|Cream|Black determined|White father|Silver triple ring right|Cigar|Houtai cheek & nose|Mint under cut|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4036
2118|571.0389339658703|2347|Genesis Kami #2347|Porpoise forest fairy|Katana 2|White|White aggressive|Black kimono|Gold double ring right 1|Cigar|Black pirate eyepatch|Brownish orange slick hair|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2347
2119|571.0253428655752|816|Genesis Kami #816|Slate blue fire ghost|Berserker blade|White|Red good boy|Gold kimono|Silver spear|White rose|Black pirate eyepatch|Brownish orange wuxia|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/816
2120|571.0177829238106|5228|Genesis Kami #5228|Flint|Brush|Cream|White determined|Black gold pimp|Gold spear|Black rose|Bandage cheek & nose|Black shonen|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5228
2121|570.714705119879|2306|Genesis Kami #2306|Seaweed|Red wand|White|Purple determined|Dark tribal|Silver double ring right 1|Smirk|White kamen|Brown wuxia|Red devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2306
2122|570.4790153296203|4319|Genesis Kami #4319|Pine|Berserker blade|Brown|Red vampire|White ronin|Purple white fluffy|Blue gum|Doctor glasses|Brown japan bangs|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4319
2123|570.4552751005423|3400|Genesis Kami #3400|Slate blue fire ghost|None|Cream|Pink angry eyes|White black clown|Gold double ring right 2|Smirk|Bandage nose|Purple shonen|Anubis ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3400
2124|570.281282294853|2177|Genesis Kami #2177|Pink sakura|Berserker blade|White|Yellow demon|Black white kimono|Gold triple ring right|Cigar|Houtai all|Purple nippon|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2177
2125|570.212016245941|441|Genesis Kami #441|Porpoise|None|White|Pink determined|Yellow onmyoji|Sky blue feather|Blue rose|Doctor glasses|Red under cut|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/441
2126|570.0985666949418|4511|Genesis Kami #4511|Slate red fire ghost|Gold buster sword|Brown|Red strained|Red wizard|Silver chain|Smile|Black opera kamen|Gray shonen|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4511
2127|569.969939894201|4598|Genesis Kami #4598|Blush|Purple wand|White|Red vampire|Purple tribal|Silver feather|Smirk|None|Gray cornrow braids|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4598
2128|569.9170062682089|729|Genesis Kami #729|Sky|Berserker blade|White|Sky blue strained|Purple onmyoji|Red white fluffy|Smile with teeth|Danzo mekakushi houtai|Gold nippon|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/729
2129|569.8365177650774|3705|Genesis Kami #3705|Lead fire fairy|Gold berserker|White|Black strained|Red lord|Gold short long|Cigar|Gold cyberpunk glasses|Black under cut|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3705
2130|569.8209350895128|4583|Genesis Kami #4583|Blizzard night|Katana 1|Black|Sky blue gentle|Red gakuran|Silver ring 2|Smile|Round glasses big|Black shonen|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4583
2131|569.8089455380141|1745|Genesis Kami #1745|Red fire|Red wand|Black|Black strained|Orange tribal|Gold double ring right 1|Mild smile|Black kamen|Brownish orange cornrow braids|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1745
2132|569.7555327146732|2948|Genesis Kami #2948|Immortal red dark feather aura|Red wand|Titanium|Sky blue gangsta|Red father|Gold triple ring right|Smile|White opera kamen|Red slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2948
2133|569.6854214124602|2386|Genesis Kami #2386|Lead forest fairy|Red scythe|Black|White angry eyes|Purple wizard|Silver feather|Smile|Houtai cheek & nose|Gold japan bangs|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2386
2134|569.682988984671|4860|Genesis Kami #4860|Oat|Gray scythe|White|Yellow angry eyes|White lord|Gold ring 1|Blue rose|Danzo mekakushi houtai|White kpop 1|Black kitsune ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4860
2135|569.503586363711|639|Genesis Kami #639|Lead water fairy|None|Cream|Yellow grievous|White priest|Red black fluffy|Gritted|Houtai both cheek|Purple harajuku|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/639
2136|569.4203840918565|1873|Genesis Kami #1873|Wood|Purple wand|White|Yellow demon|Bondage pharoh|Gold short long|Mild smile|None|Brownish orange kpop 1|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1873
2137|569.3052188230953|3552|Genesis Kami #3552|Red fire|Gray scythe|Black|Green strained|Purple tribal|Gold spear|Smile with teeth|None|Purple cornrow braids|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3552
2138|569.1413428648185|1335|Genesis Kami #1335|Fossil blue fire ghost|Red wand|Cream|Sky blue angry eyes|Black shirt|nail|Green gum|None|Brownish orange japan bangs|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1335
2139|569.1305955437571|1523|Genesis Kami #1523|Lavender|Shikigami|Brown|Black good boy|Yellow priest|Purple black fluffy|Mild smile|Houtai cheek left|Purple japan bangs|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1523
2140|568.9801005890776|4839|Genesis Kami #4839|Shadow|Berserker blade|White|Pink gangsta|White ronin|Silver ring 1|Haha|Black pirate eyepatch|Gold cornrow braids|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4839
2141|568.9660654104273|159|Genesis Kami #159|Silver|None|Brown|Purple gentle|Blue cyberpunk suit|Silver ring 2|Cigar|Houtai cheek|Black wuxia|Black devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/159
2142|568.9098683530225|3742|Genesis Kami #3742|Sandstone|Brush|Cream|Yellow angry eyes|Purple wizard|Gold short long|Smile|Gold cyberpunk glasses|Red cornrow braids|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3742
2143|568.8405773542544|1868|Genesis Kami #1868|Colud kase|Katana 1|Black|White cold|Blue priest|Black spear|Smile|Rimless|Brownish orange nippon|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1868
2144|568.7196420447221|1191|Genesis Kami #1191|Pewter|Katana 2|White|Green grievous|Black onmyoji|Black red kss hanafuda|Black rose|Rimless|Brown slick hair|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1191
2145|568.6894731212229|3565|Genesis Kami #3565|Umber|Katana 2|White|Green demon|Black gangster suit|Gold double ring right 1|Blue gum|Gold cyberpunk glasses|Purple oppa|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3565
2146|568.6263129880884|1645|Genesis Kami #1645|Flint black purple thunder|Gold berserker|Cream|Yellow cold|Pharoh|Black feather|Gritted|Red cyberpunk glasses|Gold disheveled|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1645
2147|568.5382892818068|2832|Genesis Kami #2832|Coin|Gray scythe|Titanium|Sky blue angry eyes|Pharoh|Silver skull|Neutral|White demon mask|Brownish orange long hair|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2832
2148|568.5169644088022|2701|Genesis Kami #2701|Umber|Spear|Brown|White grievous|White black kimono|Red white fluffy|Smile with teeth|Houtai all|Mint shonen|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2701
2149|568.5094756399146|5049|Genesis Kami #5049|Pine|Red wand|Cream|Red cold|White wing angel|Silver skull|Smile|Gold cyberpunk glasses|Brownish orange long hair|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5049
2150|568.3596462361991|276|Genesis Kami #276|Mahogany|Katana 2|Brown|Pink angry eyes|Purple wizard|Silver four ring right|Smile|Blue cyberpunk glasses|White kpop 1|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/276
2151|568.3130673737655|2191|Genesis Kami #2191|Sky|Katana 1|Cream|Red vampire|Red cape|Gold double ring right 2|Gritted|Doctor glasses|Brown cornrow braids|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2191
2152|568.26793954558|4906|Genesis Kami #4906|Porpoise|Red wand|Cream|Black grievous|White lord|Silver dot|Smile|Bandage cheek & nose|White under cut|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4906
2153|568.2333581291745|533|Genesis Kami #533|Hazelnut|None|Cream|Yellow strained|Purple wizard|Silver spear|Mild smile|Bandage nose|Red cornrow braids|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/533
2154|568.1585936982925|3749|Genesis Kami #3749|Black fire|Brush|White|Pink strained|Green kimono|Silver short long|Blue rose|None|Mint harajuku|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3749
2155|568.0947198105771|2398|Genesis Kami #2398|Coin|Katana 2|White|Red aggressive|Black turtle|Gold dot|Smile|None|Brownish orange shonen|Smile mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2398
2156|568.0737451251289|3136|Genesis Kami #3136|Seaweed|Purple scythe|Cream|Purple determined|Purple white hood|Silver four ring right|Pink gum|Bandage nose|Purple disheveled|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3136
2157|568.065301871296|278|Genesis Kami #278|Porpoise earth fairy|Brush|White|Red aggressive|Gold kimono|None|Smile with teeth|Red mekakushi|Purple disheveled|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/278
2158|567.9953156477551|408|Genesis Kami #408|Silver|Gray scythe|Black|Green aggressive|Red father|White skull|Smirk|White kamen|Gray madara|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/408
2159|567.9768587895103|1449|Genesis Kami #1449|Seaweed|Red wand|White|Purple grievous|Black cape|Silver double ring right 1|Black rose|Black danzo mekakushi|Gray nippon|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1449
2160|567.9358974435708|5408|Genesis Kami #5408|Hickory|Katana 2|Titanium|Green gentle|Black ronin|Silver fan|Smile|Black mekakushi|Black ikemen|Black baby dragon|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5408
2161|567.8809423877186|489|Genesis Kami #489|Rosewood|None|Black|Purple grievous|Gray turtle|Gold spear|Gritted|Red cyberpunk glasses|Gray under cut|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/489
2162|567.8115880958995|824|Genesis Kami #824|Seaweed|Purple scythe|Cream|Yellow good boy|Bondage pharoh|Silver four ring right|White rose|Houtai cheek & nose|Brownish orange kpop 1|Black baby dragon|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/824
2163|567.7325127676393|3675|Genesis Kami #3675|Blizzard night|Brush|White|Red strained|Light gray fur|Sky blue feather|Rose|Bandage cheek & nose|Black slick hair|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3675
2164|567.7124811031756|4154|Genesis Kami #4154|Oat|Berserker blade|Cream|Purple grievous|Black cape|Gold spear|Mild smile|None|Mint under cut|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4154
2165|567.6126648091767|2298|Genesis Kami #2298|Sandstone|None|White|Sky blue angry eyes|Black gold samurai|White feather|Gritted|None|Black slick hair|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2298
2166|567.5484319596392|1097|Genesis Kami #1097|Pine|Berserker blade|White|Yellow determined|Purple ninja|Purple black fluffy|Rose|Houtai all|White nippon|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1097
2167|567.53342803881|3642|Genesis Kami #3642|Silver|Shikigami|White|White cold|Gray binbo|Purple black fluffy|Rose|Houtai all|Mint nippon|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3642
2168|567.5062009786143|1342|Genesis Kami #1342|Seaweed|Silver buster sword|Brown|Yellow determined|Light gray fur|Gold short long|Pink gum|None|Red shonen|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1342
2169|567.501353086597|573|Genesis Kami #573|Silver|Katana 1|Cream|Purple strained|Red biker jacket|Gold double long right|Mild smile|Bandage cheek & nose|Black slick hair|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/573
2170|567.4282091015231|1691|Genesis Kami #1691|Hazulnut grass flower|None|Brown|Green strained|White priest|None|Smirk|None|Brown slick hair|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1691
2171|567.4221176890181|1585|Genesis Kami #1585|Pine|Brush|Cream|Pink determined|Purple white hood|Gold short long|Neutral|Green cyberpunk glasses|Brown disheveled|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1585
2172|567.3852458329027|2612|Genesis Kami #2612|Blush|Gold berserker|Black|Pink determined|White lord|Silver chain|Gritted|Red cyberpunk glasses|Gold cornrow braids|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2612
2173|567.3384749829004|4910|Genesis Kami #4910|Coin black red thunder|None|Cream|Yellow cold|Black gold clown|Silver ring 3|Angry|Blue cyberpunk glasses|Brownish orange shonen|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4910
2174|567.2260743114912|2023|Genesis Kami #2023|Sandstone|None|Brown|Green satan|White red kimono|Red black fluffy|White rose|None|Red long hair|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2023
2175|567.1549872873214|4969|Genesis Kami #4969|Coin|Spear|Black|Red grievous|Black ronin|White skull|Purple rose|Black pirate eyepatch|Black cornrow braids|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4969
2176|567.1302212265962|3262|Genesis Kami #3262|Slate blue fire ghost|Spear|Gray|Black grievous|White black kimono|Silver short long|Smile|Round glasses big|White slick hair|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3262
2177|567.1191966142898|882|Genesis Kami #882|Lead fire fairy|None|Brown|Black vampire|Bondage pharoh|White skull|Blue gum|Bandage nose|Black cornrow braids|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/882
2178|566.9913661352666|3462|Genesis Kami #3462|Slate blue fire ghost|Silver berserker|Cream|Green grievous|Gold lord|Silver ring 2|Gritted|Red cyberpunk glasses|Brownish orange japan bangs|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3462
2179|566.8840851371697|152|Genesis Kami #152|Silver|Berserker blade|White|Sky blue gentle|Red bondage|Black white fluffy|Purple rose|None|Brown shonen|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/152
2180|566.8461208976522|392|Genesis Kami #392|Porpoise blue thunder|None|White|Green aggressive|Purple lord|Gold feather|Smile with teeth|Bandage cheek & nose|Gray shonen|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/392
2181|566.6994227861368|5200|Genesis Kami #5200|Porpoise|Purple wand|Cream|Purple determined|Red cape|Sky blue feather|Smile|Rimless|Red disheveled|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5200
2182|566.6569093080527|1850|Genesis Kami #1850|Sandstone|Katana 1|Gray|Red gentle|Black kimono|Silver double ring right 1|Angry|White demon mask|Brownish orange long hair|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1850
2183|566.5893791464758|5007|Genesis Kami #5007|Hickory|Red scythe|Brown|Black determined|Black white clown|Silver four ring right|Blue rose|Black mekakushi|Gray wuxia|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5007
2184|566.5710776261668|3914|Genesis Kami #3914|Lead forest fairy|None|Cream|Yellow strained|Purple wizard|Gold double long right|Smirk|None|Black madara|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3914
2185|566.5613615652162|4825|Genesis Kami #4825|Rosewood|None|Cream|Black gentle|Red father|Silver triple ring right|Smirk|Gold opera kamen|Brownish orange kpop 1|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4825
2186|566.5014872468787|686|Genesis Kami #686|Coin|Gold berserker|Cream|Pink good boy|White black clown|Silver dot|Gritted|White opera kamen|Gold under cut|Black devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/686
2187|566.4422244856129|1333|Genesis Kami #1333|Slate purple fire ghost|None|White|Yellow grievous|White angel|Black feather|Neutral|Black danzo mekakushi|Brown oppa|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1333
2188|566.3745279511375|2195|Genesis Kami #2195|Shadow|Gold berserker|Cream|Green aggressive|Red cyberpunk suit|White feather|White rose|Houtai cheek & nose|Purple kpop 1|Angel ring|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2195
2189|566.3162210577523|3311|Genesis Kami #3311|Lead forest fairy|None|Cream|Gray demon|Jacket hood|Silver ring 2|Haha|Houtai cheek & nose|Gray disheveled|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3311
2190|566.1984690654994|3561|Genesis Kami #3561|Teal kase|Berserker blade|Cream|Black cold|Black ronin|Gold fan|Smirk|Black pirate eyepatch|Purple oppa|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3561
2191|566.1910651884768|3082|Genesis Kami #3082|Porpoise white red|Gray scythe|White|White strained|White lord|Gold dot|Neutral|Bandage nose|Mint wuxia|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3082
2192|566.1896424298297|4313|Genesis Kami #4313|Slate red fire ghost|Katana 2|Cream|Black vampire|Black white purple kimono|Red black fluffy|Haha|Houtai cheek & nose|Purple harajuku|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4313
2193|566.1588381975733|551|Genesis Kami #551|Mahogany|Gray scythe|Brown|Purple good boy|Black angel|Silver double ring right 2|Smirk|Bandage cheek & nose|Purple japan bangs|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/551
2194|566.1502860371544|1455|Genesis Kami #1455|Shadow|Gold berserker|Cream|Black cold|Red lord|Gold feather|Mild smile|Bandage nose|Brown shonen|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1455
2195|566.1436355511823|3220|Genesis Kami #3220|Sky|None|Cream|Yellow gentle|Black ronin|Red black fluffy|Black rose|Gantai|Gray ikemen|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3220
2196|566.1268178569229|2800|Genesis Kami #2800|Immortal galaxy|Silver berserker|White|Gray demon|Red father|Gold triple ring right|Cigar|Green cyberpunk glasses|Red japan bangs|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2800
2197|566.1054567221768|4433|Genesis Kami #4433|Seaweed|Gold berserker|Cream|Purple strained|Purple tribal|Silver skull|Mild smile|Black opera kamen|Brownish orange madara|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4433
2198|566.0622704218162|3745|Genesis Kami #3745|Porpoise white purple|Gold berserker|Gray|Yellow good boy|Bondage pharoh|Gold short long|Mild smile|Blue cyberpunk glasses|Black slick hair|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3745
2199|566.0479321573431|5399|Genesis Kami #5399|Shadow|None|White|Sky blue gentle|White priest|Silver ring 1|Smirk|Mekakushi houtai|Black kpop 1|Black baby dragon|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5399
2200|565.9983731192069|208|Genesis Kami #208|Blush|Gold berserker|White|Purple grievous|Pharoh|Silver spear|Blue gum|None|Gray wuxia|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/208
2201|565.9915729790067|5277|Genesis Kami #5277|Coin|Berserker blade|Brown|White gangsta|Gray binbo|Black feather|Smile with teeth|Ninja mask|Gray long hair|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5277
2202|565.7849170904885|4913|Genesis Kami #4913|Coin|Shikigami|Cream|Pink good boy|Yellow onmyoji|Purple black fluffy|Pink gum|Houtai all|Brownish orange nippon|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4913
2203|565.718536515803|303|Genesis Kami #303|Porpoise blue thunder|Purple wand|Cream|Purple good boy|Gold lord|Silver four ring right|White rose|Black danzo mekakushi|Brownish orange disheveled|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/303
2204|565.6986535723283|2009|Genesis Kami #2009|Immortal coin dark feather aura|Red scythe|White|Red strained|Purple tribal|Silver chain|Smile|White kamen|Black oppa|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2009
2205|565.4274000405912|2162|Genesis Kami #2162|Black fire|Red scythe|White|Yellow gangsta|Black gold clown|Gold dot|Black rose|Bandage nose|Brownish orange under cut|Anubis ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2162
2206|565.3833098246912|4214|Genesis Kami #4214|Flint|Gray scythe|Cream|White strained|Gray fur|White feather|Mild smile|Black opera kamen|Brown harajuku|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4214
2207|565.127546204986|5197|Genesis Kami #5197|Porpoise forest fairy|Berserker blade|Gray|Sky blue strained|Black white kimono|Red feather|Angry|Red mekakushi|Black slick hair|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5197
2208|565.1086514551617|4006|Genesis Kami #4006|Hazelnut|None|White|Pink determined|White ninja|Nippon hanafuda|Smirk|Ninja mask|White nippon|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4006
2209|565.0352678826407|4317|Genesis Kami #4317|Blush|None|Cream|White gentle|Black shirt|Silver skull|Black rose|Bandage nose|Brown under cut|White kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4317
2210|565.0298227051071|1496|Genesis Kami #1496|Rosewood|None|Cream|Yellow gangsta|White angel|Gold ring 2|Smile with teeth|White opera kamen|Mint wuxia|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1496
2211|564.985264004866|3077|Genesis Kami #3077|Lavender|None|White|Green gentle|Purple gakuran|Silver four ring right|Smirk|Bandage cheek & nose|Brownish orange under cut|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3077
2212|564.9806014325048|2210|Genesis Kami #2210|Porpoise fire fairy|Red wand|Brown|Pink strained|Orange cyberpunk suit|Silver double long right|Haha|Black mekakushi|Gray nippon|Red devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2210
2213|564.9710295936835|2552|Genesis Kami #2552|Flint|Purple wand|Cream|Yellow gangsta|White silver pimp|Black spear|Cigar|Round glasses big|Purple harajuku|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2552
2214|564.9533867564049|1727|Genesis Kami #1727|Hickory|None|Cream|White determined|Black gold pimp|White feather|Neutral|Green cyberpunk glasses|Mint kpop 1|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1727
2215|564.9529439435278|1337|Genesis Kami #1337|Sky|Purple scythe|White|Pink grievous|Blue hood|Silver ring 1|Angry|Rimless|Purple nippon|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1337
