rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
66|Oliens #1690|355.3418171653505|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1689|jungle |bunrt umber ||big fat nose |closed mouth |punky eyes ||purple vintage shirt ||black robe and dark sing |
67|Oliens #1558|352.81609415390744|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1557|glittery night sky |bunrt umber ||nose2 |wondering mouth |sus eyes|eyepatch|jedi robe ||oxblood cowboyhat |
68|Oliens #1356|351.498092761897|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1355|blue |light gray |fuck off tattoo |bignose |wondering mouth |tierd eyes ||pink shirt with a line ||head band |
69|Oliens #1535|351.06797122246564|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1534|pizza planet |light skin ||nose2 |wondering mouth |tierd eyes sinning |purple fire glasses |pink shirt with a line |bitcoin necklce|orange long hair |cigarette 
70|Oliens #2219|349.2686751824181|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2218|glittery night sky |dark brown ||wierd nose |wide mouth|tierd eyes ||blue Tshirt ||egyptian|
71|Oliens #1727|348.334458043001|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1726|sangria red |pink ||nose2 |wild mouth |cute eyes ||navy suit ||head band |
72|Oliens #1987|346.3048752083955|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1986|light blue |bunrt umber ||big fat nose |joker mouth|tierd eyes sinning ||triditional robe ||braid black|
73|Oliens #1883|346.07156877098504|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1882|red |light virdian |fuck off tattoo |Onose |wild mouth |bored eyes ||black suit & red tie ||braid ginger |
74|Oliens #819|345.1566361748635|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/818|red drapes |pink |fuck off tattoo |nose2 |wide mouth|joker eyes ||under shirt ||red mohak |
75|Oliens #25|336.2309230207871|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/24|420 am |light virdian ||nose2 |wondering mouth |Oeyes shiny ||jedi robe ||bald |
76|Oliens #1052|336.00923978733186|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1051|pink back |pickle green ||Onose |wide mouth|joker eyes ||red suit |silver ring |braid cherry |blunt 
77|Oliens #1204|335.5787062417955|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1203|mushroom cloud |pale lime yellow ||bignose |wondering mouth |joker eyes |pink fire glaasses |hazelnut brown shirt with a line ||braid ginger |
78|Oliens #903|333.4538247508865|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/902|blue |bunrt umber ||wierd nose |small lips|cool eyes |sun glasses |naked ||head band |cigarette 
79|Oliens #1621|328.99803774021683|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1620|wine red |raw umber ||funny nose |wondering mouth |Oeyes shiny ||black suit & red tie ||red mohak |blunt 
80|Oliens #1636|324.9719992982529|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1635|jungle |sky blue body ||Onose |closed mouth |sus eyes||red Tshirt ||black robe and dark sing |
