rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
56|Holo Mask : Blue #416|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/416|Trey|Avery 2 Color|Jose|Lilly|Damian Blue|Jeremiah Blue
56|Holo Mask : Blue #677|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/677|Trey|Zoe 2 Color|Jose|Naila|Braxton Blue|Connor Blue
56|Holo Mask : Blue #712|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/712|Trey|Jazmin White 2 Color|Xavier|Ocie|Luis Blue|John Blue
56|Holo Mask : Blue #911|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/911|Trey|Zoe 2 Color|Jason|Naya|Harrison Blue|Landon Blue
56|Holo Mask : Blue #970|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/970|Trey|Hazel 2 Color|Jose|Niada|Brandon Blue|Christian Blue
56|Holo Mask : Blue #1356|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1356|Trey|Mia 2 Color|Jose|Ocie|Ryder Blue|Asher Blue
56|Holo Mask : Blue #1390|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1390|Trey|Julie White 2 Color|Sawyer|Nadia|George Blue|Connor Blue
56|Holo Mask : Blue #1555|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1555|Trey|Ava 2 Color|Jameson|Lydia|Silas Blue|Colton Blue
56|Holo Mask : Blue #1587|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1587|Trey|Elizabeth 2 Color|Everett|Nilda|Luca Blue|Levi Blue
56|Holo Mask : Blue #1656|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1656|Trey|Kadey White 2 Color|Miles|Lainey|Vincent Blue|Angel Blue
56|Holo Mask : Blue #1668|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1668|Trey|Zoe 2 Color|Evan|Lana|Silas Blue|Theodore Blue
56|Holo Mask : Blue #1784|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1784|Trey|Zoey 2 Color|Kayden|Kate|Declan Blue|Nolan Blue
56|Holo Mask : Blue #1915|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1915|Trey|Luna 2 Color|Weston|Liana|Wesley Blue|Luke Blue
56|Holo Mask : Blue #1960|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1960|Trey|Kadey White 2 Color|Xavier|Naila|Silas Blue|Logan Blue
56|Holo Mask : Blue #2239|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2239|Trey|Layla 2 Color|Micah|Lana|Weston Blue|Colton Blue
56|Holo Mask : Blue #2270|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2270|Trey|Lily 2 Color|Evan|Lana|Bennett Blue|Connor Blue
56|Holo Mask : Blue #2314|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2314|Trey|Madison 2 Color|Jose|Nora|Kai Blue|Maverick Blue
56|Holo Mask : Blue #2561|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2561|Trey|Evelyn 2 Color|Jose|Melda|Luca Blue|Ian Blue
56|Holo Mask : Blue #2581|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2581|Trey|Kacie White 2 Color|Jason|Morine|Harrison Blue|Cameron Blue
56|Holo Mask : Blue #2682|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2682|Trey|Camila 2 Color|Jameson|Nadia|Ryker Blue|Adrian Blue
56|Holo Mask : Blue #2775|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2775|Trey|Addison 2 Color|Jace|Kate|Ryker Blue|Nathan Blue
56|Holo Mask : Blue #3279|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3279|Trey|Abigail 2 Color|Jameson|Liana|Bennett Blue|Landon Blue
56|Holo Mask : Blue #3327|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3327|Trey|Hannah 2 Color|Bryson|Laura|Silas Blue|Ethan Blue
