rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
147|163.17165378650324|1079|Nerd Ape Dao #1079|Pink|Black|Lab|Cyberpunk|Rasta hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1079
148|163.13997247194936|457|Nerd Ape Dao #457|Beige|White|Black suit|Round Glasses|Gold crown|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/457
149|162.79171434065356|772|Nerd Ape Dao #772|Yellow|Light brown|Black turtleneck|Faded|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/772
150|162.5288202171873|157|Nerd Ape Dao #157|Beige|Gold|Red tee|Red|Gold crown|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/157
151|162.32529352166398|385|Nerd Ape Dao #385|Yellow|Cream|Purple hoodie|Solar_beam|Rose headscarf|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/385
152|162.2012035036783|334|Nerd Ape Dao #334|Pink|Gold|Sheriff|Angry|Red bob|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/334
153|162.1514169542364|27|Nerd Ape Dao #27|Pink|Lav|Tech jacket|White Round|Pirate hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/27
154|162.1252206051527|1169|Nerd Ape Dao #1169|Red|Light brown|Black suit|Faded|Gold crown|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1169
155|162.0968851190288|1085|Nerd Ape Dao #1085|Light purple|Zombie|White shirt ribbon|Angry|Fastfood|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1085
156|161.65120357098618|601|Nerd Ape Dao #601|Red|Pink|Pink hoodie|Square|Gold crown|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/601
157|161.43688135053608|1287|Nerd Ape Dao #1287|Yellow|Pink|Brown jacket|Wide_eyes|Demon horns|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1287
158|161.43355947851344|54|Nerd Ape Dao #54|Green mint|Light brown|Banana hawaii|Gold|Adventure hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/54
159|161.2170925609241|782|Nerd Ape Dao #782|Pink|Gray|Black turtleneck|Heart|Black top hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/782
160|160.4177000327275|876|Nerd Ape Dao #876|Green mint|Gray|Black jacket|Demon|Gold crown|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/876
161|160.17599550683877|858|Nerd Ape Dao #858|Blue|Dark brown|Rasta hawaii|Glasses|Gold crown|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/858
162|160.1325907442823|1327|Nerd Ape Dao #1327|Pink|Black|Lab|Black Nerd|Newsboy cap|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1327
163|160.07735339752185|261|Nerd Ape Dao #261|Green mint|Robot|Red singlet|Dizzy|None|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/261
164|160.03975296919106|1274|Nerd Ape Dao #1274|Yellow|Zombie|Banana hawaii|Red Cat|Green beret|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1274
165|159.9617517656238|263|Nerd Ape Dao #263|Pink|Black|Adventure|Solar_beam|Demon horns|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/263
166|159.91345296872356|297|Nerd Ape Dao #297|Green mint|Zombie|Black leather|Faded|None|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/297
167|159.81890518773034|729|Nerd Ape Dao #729|Green mint|White|Purple hoodie|Solar_beam|White bucket hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/729
168|159.64976403775395|829|Nerd Ape Dao #829|Green mint|Red|Banana hawaii|Wide_eyes|Black top hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/829
169|159.64007318659864|723|Nerd Ape Dao #723|Yellow|Cream|Black turtleneck|Hearteye|Green beret|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/723
170|159.6100714300971|397|Nerd Ape Dao #397|Green mint|Gold|Brown jacket|Oneeye|Apple|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/397
