rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
348|143.9654003428879|843|Nerd Ape Dao #843|Pink|Robot|Flower Hawaii|Cyberpunk|Gold hair|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/843
349|143.95787682146428|628|Nerd Ape Dao #628|Blue|Gray|Yellow shirt|Round Glasses|Blue headscarf|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/628
350|143.9070967379016|931|Nerd Ape Dao #931|Red|Lav|Black vest|Sleepy|Apple|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/931
351|143.90053414526412|306|Nerd Ape Dao #306|Beige|Gold|White shirt ribbon|Glasses|Blue cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/306
352|143.8904365772583|1048|Nerd Ape Dao #1048|Green mint|Tiger|White shirt ribbon|Oneeye|Pirate hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1048
353|143.870414690576|980|Nerd Ape Dao #980|Blue|Pink|Green jacket|ETH|Rose headscarf|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/980
354|143.84347926110706|587|Nerd Ape Dao #587|Beige|Lav|Black suit|Sleepy|Rose headscarf|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/587
355|143.81373359633116|57|Nerd Ape Dao #57|Green mint|Tiger|Adventure|Black Nerd|Gold crown|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/57
356|143.79900431582155|846|Nerd Ape Dao #846|Green mint|Zombie|Dark blue suit|X|Black top hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/846
357|143.7809300035041|515|Nerd Ape Dao #515|Light purple|Lav|Black sleeveless|White Round|Demon horns|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/515
358|143.77208918979272|236|Nerd Ape Dao #236|Blue|Gray|Brown vest|Gold|Adventure hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/236
359|143.72906099132015|1242|Nerd Ape Dao #1242|Beige|Robot|Flower Hawaii|Cyberpunk|Pink bucket|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1242
360|143.72557879174678|176|Nerd Ape Dao #176|Red|Lav|Yellow shirt|Wide_eyes|Black top hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/176
361|143.55422714465215|43|Nerd Ape Dao #43|Yellow|Light brown|Pirate|Gold|Propeller cap|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/43
362|143.52244859347365|1182|Nerd Ape Dao #1182|Red|Zombie|Goldchain|Demon|Biker helmet|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1182
363|143.5058116693212|1162|Nerd Ape Dao #1162|Green mint|Pink|Red singlet|Shy|Fastfood|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1162
364|143.44649670504933|46|Nerd Ape Dao #46|Green mint|Cream|Brown vest|Hearteye|Demon horns|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/46
365|143.43397303003016|1252|Nerd Ape Dao #1252|Light purple|Tiger|Black suit|Oval|Black beanie|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1252
366|143.40376948968716|26|Nerd Ape Dao #26|Pink|Gray|Blue vest|3D|Pirate hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/26
367|143.3621815097743|1016|Nerd Ape Dao #1016|Pink|Pink|Sheriff|Heart|Blue headscarf|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1016
368|143.33388592249372|341|Nerd Ape Dao #341|Green mint|White|Black jacket|ETH|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/341
369|143.23589225065163|689|Nerd Ape Dao #689|Red|Robot|Black vest|Gold|White bucket hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/689
370|143.23002151871032|458|Nerd Ape Dao #458|Yellow|Gray|Blue vest|Gold|Black top hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/458
371|143.19662374938156|35|Nerd Ape Dao #35|Pink|Robot|Fastfood|Square|Pink bucket|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/35
372|143.14595533786976|787|Nerd Ape Dao #787|Beige|Cream|Pink hoodie|Shy|Rasta hat|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/787
373|143.03220224591652|474|Nerd Ape Dao #474|Yellow|White|Tech jacket|Square|Apple|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/474
374|143.02326077053235|352|Nerd Ape Dao #352|Beige|Red|Stripedtee|Oval|Rose headscarf|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/352
375|143.02267795667427|1349|Nerd Ape Dao #1349|Red|Dark brown|Pirate|Angry|White bucket hat|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1349
376|142.9936976710292|419|Nerd Ape Dao #419|Yellow|Light brown|Goldchain|Glasses|Demon horns|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/419
377|142.9929498047715|633|Nerd Ape Dao #633|Yellow|Robot|Black suit|Sleepy|Red bob|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/633
378|142.9398284889074|76|Nerd Ape Dao #76|Blue|Robot|None|Wide_eyes|None|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/76
379|142.90559738192673|960|Nerd Ape Dao #960|Yellow|Gold|White shirt ribbon|Demon|White bucket hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/960
380|142.8955289971045|273|Nerd Ape Dao #273|Pink|Robot|Yellow shirt|Close|Apple|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/273
381|142.8495205706285|1331|Nerd Ape Dao #1331|Light purple|Pink|Brown coat|Fasion|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1331
382|142.77817136499036|1161|Nerd Ape Dao #1161|Green mint|Dark brown|White singlet|Faded|None|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1161
383|142.67626897012462|117|Nerd Ape Dao #117|Blue|Cream|Flower Hawaii|Glasses|Fastfood|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/117
384|142.65333736366944|1107|Nerd Ape Dao #1107|Light purple|Pink|Black vest|Oval|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1107
385|142.64986075904864|794|Nerd Ape Dao #794|Red|Water|Pink fur|Square|Demon horns|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/794
386|142.62595336841164|822|Nerd Ape Dao #822|Light purple|Light brown|Overalls|X|Red bob|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/822
387|142.60760698073673|1003|Nerd Ape Dao #1003|Blue|White|Tech jacket|Black Nerd|Pink bucket|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1003
388|142.58908075715246|1239|Nerd Ape Dao #1239|Green mint|Tiger|Pink fur|Oval|Red bob|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1239
389|142.5473917321633|1267|Nerd Ape Dao #1267|Beige|Gray|Black vest|Oneeye|Gold hair|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1267
390|142.5322594437441|494|Nerd Ape Dao #494|Beige|Gold|Rasta hawaii|Demon|Gold hair|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/494
391|142.52215145038193|1293|Nerd Ape Dao #1293|Light purple|Red|White fur|Dizzy|Pink bucket|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1293
392|142.33584020943096|1236|Nerd Ape Dao #1236|Pink|Gold|Blue vest|Dizzy|Pirate hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1236
393|142.32040226298787|818|Nerd Ape Dao #818|Blue|Lav|Pink fur|Fasion|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/818
394|142.27926849318544|1028|Nerd Ape Dao #1028|Red|Gray|White shirt ribbon|Demon|Black beanie|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1028
395|142.2682545292992|677|Nerd Ape Dao #677|Yellow|Light brown|Black hoodie|Close|Demon horns|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/677
396|142.23303888851865|567|Nerd Ape Dao #567|Beige|Water|None|Demon|Red bob|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/567
397|142.23271517203023|262|Nerd Ape Dao #262|Yellow|Pink|Judo|Angry|Green beret|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/262
398|142.1737686396723|1111|Nerd Ape Dao #1111|Beige|Cream|Judo|Faded|Pirate hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1111
399|142.1655236327127|90|Nerd Ape Dao #90|Light purple|Water|Brown vest|Oneeye|Propeller cap|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/90
400|142.1602951697904|607|Nerd Ape Dao #607|Yellow|Cream|Tech jacket|Cyberpunk|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/607
401|142.14083448545102|48|Nerd Ape Dao #48|Beige|Lav|Dark blue suit|Gold|Adventure hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/48
402|142.04492979204508|519|Nerd Ape Dao #519|Blue|Red|Purple hoodie|ETH|Propeller cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/519
403|142.04422768299202|512|Nerd Ape Dao #512|Yellow|Dark brown|Yellow shirt|X|Pink bucket|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/512
404|142.02153355089382|940|Nerd Ape Dao #940|Red|White|Pink fur|ETH|Pink bucket|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/940
405|142.01147333980208|700|Nerd Ape Dao #700|Yellow|Dark brown|Brown coat|Gold|Rose headscarf|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/700
406|141.98985904921236|713|Nerd Ape Dao #713|Pink|Gold|Pink hoodie|Wide_eyes|Rose headscarf|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/713
407|141.98396923321278|1222|Nerd Ape Dao #1222|Yellow|Zombie|White fur|ETH|Fastfood|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1222
408|141.97894804225055|770|Nerd Ape Dao #770|Light purple|Lav|Adventure|Red|Gold hair|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/770
409|141.9422560369807|618|Nerd Ape Dao #618|Pink|Water|Yellow shirt|Fasion|Pirate hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/618
410|141.937165221557|449|Nerd Ape Dao #449|Red|Water|Brown vest|Oval|Newsboy cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/449
411|141.8373822775565|293|Nerd Ape Dao #293|Red|Zombie|Fastfood|Eyepatch|Newsboy cap|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/293
412|141.70466423976183|1072|Nerd Ape Dao #1072|Yellow|Tiger|Purple hoodie|Red|Gold hair|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1072
413|141.69295490364638|617|Nerd Ape Dao #617|Pink|Cream|Adventure|Red Cat|None|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/617
414|141.56261350090256|153|Nerd Ape Dao #153|Yellow|Tiger|Black vest|Round Glasses|Pink bucket|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/153
415|141.49113992378597|1019|Nerd Ape Dao #1019|Blue|Gray|Overalls|ETH|Gold hair|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1019
416|141.45280298099448|192|Nerd Ape Dao #192|Pink|Red|Black leather|Close|Red bob|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/192
417|141.44875247620698|1035|Nerd Ape Dao #1035|Beige|Light brown|Judo|Red|Adventure hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1035
418|141.32411273677096|1080|Nerd Ape Dao #1080|Pink|Cream|Brown coat|Oneeye|Demon horns|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1080
419|141.25857524207993|1092|Nerd Ape Dao #1092|Light purple|White|Black suit|ETH|Staw hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1092
420|141.2422433560119|837|Nerd Ape Dao #837|Red|Pink|Silverchain|ETH|Pirate hat|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/837
421|141.2414308289759|903|Nerd Ape Dao #903|Green mint|Light brown|Black suit|Shy|Pink bucket|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/903
422|141.22448898931486|137|Nerd Ape Dao #137|Red|Tiger|Rasta hawaii|Close|Rasta hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/137
423|141.1911938756357|485|Nerd Ape Dao #485|Beige|Light brown|Dark blue suit|X|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/485
424|141.18964620261062|646|Nerd Ape Dao #646|Yellow|Red|Purple hoodie|Oval|Propeller cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/646
425|141.12926124764627|1064|Nerd Ape Dao #1064|Beige|Zombie|Stripedtee|Wide_eyes|Propeller cap|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1064
426|141.06831792272715|207|Nerd Ape Dao #207|Red|Robot|Fastfood|Round Glasses|Gold hair|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/207
427|141.0371369791271|331|Nerd Ape Dao #331|Yellow|Black|Brown coat|Square|Apple|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/331
428|140.99726103245777|1240|Nerd Ape Dao #1240|Blue|Tiger|Tuxedo|Red|Pink beanie|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1240
429|140.98240294213232|834|Nerd Ape Dao #834|Blue|Gray|Pink fur|Angry|Cowboy hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/834
430|140.97877727369013|184|Nerd Ape Dao #184|Green mint|Robot|Pirate|Square|Biker helmet|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/184
431|140.9316923555129|881|Nerd Ape Dao #881|Yellow|White|Pink hoodie|Glasses|Pink beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/881
432|140.91934001805987|170|Nerd Ape Dao #170|Pink|Robot|Purple hoodie|X|Propeller cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/170
433|140.89618372739798|1099|Nerd Ape Dao #1099|Yellow|Black|Judo|Black Nerd|Pink bucket|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1099
434|140.80318560823326|930|Nerd Ape Dao #930|Blue|Gold|White fur|X|Pink beanie|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/930
435|140.80160516366095|985|Nerd Ape Dao #985|Beige|Black|Black jacket|Wide_eyes|Demon horns|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/985
436|140.7912936032305|653|Nerd Ape Dao #653|Red|Lav|Stripedtee|White Round|Green beanie|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/653
437|140.76473391283878|450|Nerd Ape Dao #450|Green mint|Water|Dark blue suit|Oneeye|Pink bucket|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/450
438|140.7090025734978|808|Nerd Ape Dao #808|Yellow|Gray|Brown vest|Cyberpunk|Gold hair|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/808
439|140.70511175286757|359|Nerd Ape Dao #359|Yellow|Robot|Purple hoodie|Gold|Gold hair|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/359
440|140.69228468782057|716|Nerd Ape Dao #716|Light purple|White|Pink hoodie|Fasion|Demon horns|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/716
441|140.59471362027432|1106|Nerd Ape Dao #1106|Beige|Robot|Purple hoodie|White Round|Blue headscarf|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1106
442|140.56002463233318|49|Nerd Ape Dao #49|Pink|Zombie|Black hoodie|White Round|Green beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/49
443|140.53747496356362|996|Nerd Ape Dao #996|Blue|Cream|Sheriff|Angry|Newsboy cap|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/996
444|140.53322652693757|215|Nerd Ape Dao #215|Blue|Pink|None|Sleepy|None|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/215
445|140.47215645255866|639|Nerd Ape Dao #639|Green mint|Light brown|White fur|Hearteye|Red bob|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/639
446|140.39401563499501|1023|Nerd Ape Dao #1023|Blue|Gray|Judo|Oneeye|Apple|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1023
447|140.33821541182112|1177|Nerd Ape Dao #1177|Red|Light brown|Pink fur|Gold|Cowboy hat|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1177
448|140.3313701758621|286|Nerd Ape Dao #286|Green mint|Water|Overalls|Wide_eyes|Blue headscarf|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/286
449|140.3151350322718|667|Nerd Ape Dao #667|Light purple|Pink|Tuxedo|Red|Newsboy cap|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/667
450|140.3121851228185|542|Nerd Ape Dao #542|Red|Light brown|Black vest|Close|Rose headscarf|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/542
451|140.2916817350056|1012|Nerd Ape Dao #1012|Beige|Tiger|Black sleeveless|Hearteye|Blue headscarf|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1012
452|140.25261215325924|991|Nerd Ape Dao #991|Beige|Pink|Blue vest|Angry|Pink beanie|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/991
453|140.2465596571824|210|Nerd Ape Dao #210|Light purple|Zombie|Blue vest|Round Glasses|Black beanie|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/210
454|140.2196160110748|849|Nerd Ape Dao #849|Green mint|Red|Fastfood|Glasses|Blue cap|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/849
455|140.20264943406167|657|Nerd Ape Dao #657|Yellow|Zombie|Stripedtee|Close|Newsboy cap|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/657
456|140.13147341189807|1320|Nerd Ape Dao #1320|Beige|Gold|Overalls|Angry|Black top hat|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1320
457|140.12764175311472|994|Nerd Ape Dao #994|Red|Zombie|Brown vest|Dizzy|Black top hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/994
458|140.0672155815385|935|Nerd Ape Dao #935|Green mint|Gold|Black hoodie|Demon|Green beanie|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/935
459|140.06025962341752|950|Nerd Ape Dao #950|Yellow|Red|Brown vest|Sleepy|Pink bucket|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/950
460|140.01359036557616|1311|Nerd Ape Dao #1311|Light purple|Gold|Black sleeveless|Hearteye|Rose headscarf|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1311
461|139.9723189214007|516|Nerd Ape Dao #516|Light purple|White|Sheriff|Oval|Fastfood|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/516
462|139.88982528231847|880|Nerd Ape Dao #880|Yellow|Black|Blue vest|Wide_eyes|Red bob|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/880
463|139.8758185965344|417|Nerd Ape Dao #417|Blue|Robot|Sheriff|Red Cat|Cowboy hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/417
464|139.86047849341125|831|Nerd Ape Dao #831|Yellow|Black|Tuxedo|Cyberpunk|None|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/831
465|139.76567636614598|1084|Nerd Ape Dao #1084|Yellow|Zombie|Overalls|Red Cat|Apple|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1084
466|139.75365527117958|1042|Nerd Ape Dao #1042|Blue|Robot|Black leather|Angry|Red bob|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1042
467|139.74253954585635|813|Nerd Ape Dao #813|Green mint|Cream|Flower Hawaii|Dizzy|Green beanie|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/813
468|139.7085642266319|373|Nerd Ape Dao #373|Red|Lav|Brown vest|Cyberpunk|Blue cap|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/373
469|139.66476287986706|21|Nerd Ape Dao #21|Pink|White|Sheriff|Gold|Adventure hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/21
470|139.65476579584166|1100|Nerd Ape Dao #1100|Red|Tiger|Flower Hawaii|Close|Adventure hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1100
471|139.63565649513782|1277|Nerd Ape Dao #1277|Red|Zombie|Black hoodie|Dizzy|Demon horns|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1277
472|139.63484953925877|1120|Nerd Ape Dao #1120|Red|Tiger|Red singlet|Round Glasses|Black beanie|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1120
473|139.59837140945092|1258|Nerd Ape Dao #1258|Blue|Gold|Flower Hawaii|Cyberpunk|Cowboy hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1258
474|139.5838552199807|608|Nerd Ape Dao #608|Yellow|Dark brown|Red singlet|Red Cat|Red bob|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/608
475|139.54763558988313|164|Nerd Ape Dao #164|Blue|Black|Yellow shirt|Square|Rasta hat|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/164
476|139.50091056403278|322|Nerd Ape Dao #322|Yellow|White|Fastfood|Oval|Fastfood|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/322
477|139.44556983434796|1196|Nerd Ape Dao #1196|Blue|Red|Overalls|Hearteye|Fastfood|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1196
478|139.44449607977737|167|Nerd Ape Dao #167|Light purple|Robot|Stripedtee|Gold|Adventure hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/167
479|139.42224209898632|1168|Nerd Ape Dao #1168|Green mint|Red|Stripedtee|Demon|Staw hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1168
480|139.41541198429897|452|Nerd Ape Dao #452|Yellow|Gray|Dark blue suit|Round Glasses|Biker helmet|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/452
481|139.4151034889089|127|Nerd Ape Dao #127|Light purple|Black|Adventure|Wide_eyes|None|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/127
482|139.39495983610104|267|Nerd Ape Dao #267|Light purple|Black|Flower Hawaii|Close|Black beanie|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/267
483|139.38775369797042|308|Nerd Ape Dao #308|Yellow|Zombie|Hawaii|Hearteye|Red bob|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/308
