rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
42|🔴-12|Nerd Ape Dao #1153|232.17100184782026|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1153|Light green|Light brown|Pirate|Fasion|Staw hat|420
43|🔵|Nerd Ape Dao #508|231.2903234936831|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/508|Gray|Light brown|Stripedtee|Sleepy|Staw hat|Mouchet
44|🔴-3|Nerd Ape Dao #725|228.87461898376566|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/725|Blue|Lav|Flower Hawaii|Half Robot|None|Mouchet
45|🔴-1|Nerd Ape Dao #750|227.96187997346178|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/750|Pink|Black|Red tee|Cyberpunk|Brown camping hat|Open
46|🔴-1|Nerd Ape Dao #44|215.42546422669653|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/44|Red|Water|Stripedtee|Rainbow|Gold crown|Tongue_out
47|🔴-1|Nerd Ape Dao #1244|211.64210995914493|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1244|Pink|White|Black turtleneck|Rainbow|Pirate hat|Grillz
48|🟢+1|Nerd Ape Dao #812|203.15093177408616|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/812|Blue|Red|Black turtleneck|Rainbow|Staw hat|Sneaky
49|🔴-2|Nerd Ape Dao #757|203.14797052568133|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/757|Pink|Lav|Sheriff|Half Robot|Gold hair|Open
50|🔵|Nerd Ape Dao #495|202.1316372891314|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/495|Green mint|Gold|Black turtleneck|Rainbow|Green beret|Candy
51|🔴-3|Nerd Ape Dao #342|201.8254037254037|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/342|Green mint|Lav|Black leather|Half Robot|Pirate hat|Grillz
52|🔵|Nerd Ape Dao #995|199.88705110520254|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/995|Green mint|Cream|Flower Hawaii|Red Beam|Rose headscarf|Sneaky
53|🔴-2|Nerd Ape Dao #1273|198.92822695794962|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1273|Beige|Zombie|Rasta hawaii|Red Beam|Propeller cap|Cigarette
54|🔵|Nerd Ape Dao #182|196.37830596369923|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/182|Green mint|Tiger|Rasta hawaii|Red Beam|Apple|Cigarette
55|🔴-2|Nerd Ape Dao #257|196.30184218119305|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/257|Pink|Cream|Fastfood|Red Beam|Rasta hat|Grin
56|🟢+3|Nerd Ape Dao #5|192.73138913618882|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/5|Beige|Water|Black hoodie|Red Beam|White bucket hat|Sneaky
57|🔵|Nerd Ape Dao #45|192.46591481065576|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/45|Red|Lav|Pink hoodie|Solar_beam|Staw hat|Grillz
58|🔴-3|Nerd Ape Dao #1184|191.00953234820085|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1184|Yellow|White|Judo|Half Robot|Blue headscarf|Mouchet
59|🟢+1|Nerd Ape Dao #993|190.85562457200527|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/993|Blue|Gold|Dark blue suit|Rainbow|Pink bucket|Gum
60|🔴-4|Nerd Ape Dao #1062|190.77633012904096|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1062|Green mint|Black|Judo|Half Robot|Apple|420
